epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,6946.48,0.33578,0.25536,0.89559,0.98376,0.99144,0.995,0.92445,0.41796,0.22755,0.94907,0.000122747,0.000122747,0.000122747
83,7029.86,0.35338,0.26793,0.8958,0.98411,0.99142,0.995,0.91459,0.43429,0.2304,0.95596,0.000119695,0.000119695,0.000119695
84,7118.54,0.34262,0.26342,0.89882,0.98047,0.98967,0.995,0.92144,0.4265,0.23753,0.94749,0.000116643,0.000116643,0.000116643
85,7200.03,0.34138,0.25724,0.89794,0.98019,0.99064,0.995,0.92663,0.41967,0.23262,0.93638,0.00011359,0.00011359,0.00011359
86,7285.32,0.33886,0.25943,0.89449,0.98835,0.99051,0.995,0.92091,0.40579,0.21924,0.94325,0.000110537,0.000110537,0.000110537
87,7369.87,0.3463,0.25854,0.89128,0.98582,0.99354,0.995,0.92828,0.41002,0.21455,0.94629,0.000107485,0.000107485,0.000107485
88,7465.78,0.32994,0.2474,0.88696,0.98832,0.99662,0.995,0.92761,0.41977,0.224,0.94346,0.000104433,0.000104433,0.000104433
89,7547.86,0.33157,0.24789,0.89417,0.9879,1,0.995,0.92847,0.41035,0.22092,0.93543,0.00010138,0.00010138,0.00010138
90,7648.61,0.33383,0.25378,0.89054,0.98849,0.99653,0.995,0.92209,0.4113,0.21116,0.93228,9.83275e-05,9.83275e-05,9.83275e-05
91,7732.2,0.33857,0.25016,0.89167,0.98181,0.99842,0.995,0.92508,0.39927,0.21478,0.93101,9.5275e-05,9.5275e-05,9.5275e-05
92,7827.55,0.31399,0.23975,0.87513,0.98052,0.98934,0.995,0.92322,0.41961,0.22074,0.94314,9.22225e-05,9.22225e-05,9.22225e-05
93,7909.71,0.32321,0.24325,0.88714,0.98336,0.99355,0.995,0.92512,0.41683,0.21898,0.94831,8.917e-05,8.917e-05,8.917e-05
94,7997.15,0.31397,0.23507,0.89084,0.97432,0.96706,0.98418,0.91662,0.42804,0.24002,0.95613,8.61175e-05,8.61175e-05,8.61175e-05
95,8075,0.31809,0.2381,0.87847,0.98305,0.99744,0.995,0.93095,0.41737,0.22061,0.95211,8.3065e-05,8.3065e-05,8.3065e-05
96,8160,0.32563,0.25293,0.8932,0.98181,0.99169,0.995,0.92856,0.40889,0.2136,0.94357,8.00125e-05,8.00125e-05,8.00125e-05
97,8240.52,0.32113,0.24229,0.88743,0.98455,0.99758,0.995,0.92409,0.41383,0.21548,0.94245,7.696e-05,7.696e-05,7.696e-05
98,8326.11,0.29834,0.22898,0.86838,0.9782,0.99975,0.995,0.92641,0.4215,0.21314,0.95332,7.39075e-05,7.39075e-05,7.39075e-05
99,8403.66,0.31232,0.22773,0.87893,0.98712,0.99804,0.995,0.92425,0.41225,0.2056,0.94967,7.0855e-05,7.0855e-05,7.0855e-05
100,8495.09,0.29835,0.22786,0.87343,0.98241,0.9978,0.995,0.92939,0.41488,0.21602,0.94498,6.78025e-05,6.78025e-05,6.78025e-05
101,8572.67,0.30852,0.23523,0.87882,0.98677,0.99514,0.995,0.92698,0.41446,0.21367,0.94149,6.475e-05,6.475e-05,6.475e-05
102,8669.04,0.29853,0.22529,0.87372,0.98674,0.99255,0.995,0.9301,0.40403,0.21593,0.93378,6.16975e-05,6.16975e-05,6.16975e-05
103,8750.9,0.30759,0.23212,0.88159,0.98634,0.99579,0.995,0.92406,0.40502,0.21125,0.93651,5.8645e-05,5.8645e-05,5.8645e-05
104,8838.84,0.29375,0.22019,0.87393,0.98245,0.99762,0.995,0.9377,0.40419,0.20942,0.93919,5.55925e-05,5.55925e-05,5.55925e-05
105,8919.58,0.28826,0.22054,0.87869,0.98787,0.999,0.995,0.93024,0.39995,0.20462,0.93751,5.254e-05,5.254e-05,5.254e-05
106,9008.26,0.28986,0.22951,0.86088,0.98705,0.98934,0.995,0.93065,0.40183,0.20754,0.93657,4.94875e-05,4.94875e-05,4.94875e-05
107,9091.93,0.2944,0.22788,0.87501,0.98704,0.98883,0.995,0.92594,0.40717,0.20777,0.93871,4.6435e-05,4.6435e-05,4.6435e-05
108,9176.74,0.2777,0.20882,0.86544,0.985,0.99303,0.995,0.93327,0.40477,0.2025,0.93667,4.33825e-05,4.33825e-05,4.33825e-05
109,9258.79,0.29123,0.21051,0.87082,0.98604,0.99437,0.995,0.93253,0.40263,0.20357,0.93377,4.033e-05,4.033e-05,4.033e-05
110,9349.16,0.28888,0.21983,0.87279,0.98606,0.99477,0.995,0.93609,0.3983,0.20406,0.93341,3.72775e-05,3.72775e-05,3.72775e-05
